"Pigeon Express","Pigeon Express"
"Enable","Enable"
"Carrier Title","Carrier Title"
"Carrier Name","Carrier Name"
"API Key","API Key"
"Test Mode","Test Mode"
"Enable Logging / Error Handling","Enable Logging / Error Handling"
"Displayed Error Message","Displayed Error Message"
"Address Delivery","Address Delivery"
"Office Delivery","Office Delivery"
"APS (Parcel Locker)","APS (Parcel Locker)"
"Address Delivery: Enable","Address Delivery: Enable"
"Address Delivery: Title","Address Delivery: Title"
"Address Delivery: Note / Description","Address Delivery: Note / Description"
"Address Delivery: Pricing Mode","Address Delivery: Pricing Mode"
"Address Delivery: Flat Rate Price","Address Delivery: Flat Rate Price"
"Office Delivery: Enable","Office Delivery: Enable"
"Office Delivery: Title","Office Delivery: Title"
"Office Delivery: Note / Description","Office Delivery: Note / Description"
"Office Delivery: Pricing Mode","Office Delivery: Pricing Mode"
"Office Delivery: Flat Rate Price","Office Delivery: Flat Rate Price"
"APS (Parcel Locker): Enable","APS (Parcel Locker): Enable"
"APS (Parcel Locker): Title","APS (Parcel Locker): Title"
"APS (Parcel Locker): Note / Description","APS (Parcel Locker): Note / Description"
"APS (Parcel Locker): Pricing Mode","APS (Parcel Locker): Pricing Mode"
"APS (Parcel Locker): Flat Rate Price","APS (Parcel Locker): Flat Rate Price"
"Dynamic (via API)","Dynamic (via API)"
"Fixed (flat rate override)","Fixed (flat rate override)"
"Pigeon Express Shipping Configuration","Pigeon Express Shipping Configuration"
"This shipping method is currently unavailable. Please contact us.","This shipping method is currently unavailable. Please contact us."
"Select delivery location","Select delivery location"
"Delivery location","Delivery location"
"Search office...","Search office..."
"Search APS (parcel locker)...","Search APS (parcel locker)..."
"Change","Change"
"Location autocomplete: max results","Location autocomplete: max results"
"Max number of Office/APS results in checkout autocomplete (e.g. 10–20).","Max number of Office/APS results in checkout autocomplete (e.g. 10–20)."
"Please select a delivery location.","Please select a delivery location."
"Phone number is required for Pigeon Express delivery.","Phone number is required for Pigeon Express delivery."
"Delivery instructions","Delivery instructions"
"Optional instructions for the courier (e.g. door code, floor).","Optional instructions for the courier (e.g. door code, floor)."
